wvls,R,T
400,0.7623310585054456,0.10976244252317907
401,0.7626209896068629,0.11001113563016404
402,0.7618663894784926,0.11063079953606057
403,0.7629704284070746,0.10997839273573909
404,0.7614724101382191,0.11120851045209812
405,0.7616428448421878,0.11165552533661344
406,0.7628579554003846,0.11062384947496631
407,0.7637873325685013,0.10981199115732472
408,0.7627599602267779,0.11096715223022709
409,0.7624847713239623,0.11132046300500797
410,0.7627263234050262,0.11127645651240022
411,0.7618280872680512,0.11201014408977997
412,0.7616381951472394,0.11204103148608499
413,0.7631497156763454,0.11080777760907465
414,0.761915142981124,0.11209293688677982
415,0.7615267129296843,0.1129174771944157
416,0.7612820238556564,0.11310495151782018
417,0.7610350968235584,0.1137608603051296
418,0.7605751151192791,0.11430854509135877
419,0.7612925695927264,0.1140834094660918
420,0.7608271781208118,0.11460427565756898
421,0.7606157587959287,0.1148357628716666
422,0.7608440149998609,0.1146471933297106
423,0.7610822296612125,0.11463777815013979
424,0.7605025049850913,0.11567915699606937
425,0.7597330509592208,0.11669256555782676
426,0.7585507619737166,0.11772451533373524
427,0.7585094224886788,0.11796346850896744
428,0.7582388161920495,0.11854993528525126
429,0.758020355610984,0.11834492818264915
430,0.7564519856403971,0.1199866023960752
431,0.7575314191434441,0.11954225707291416
432,0.7566307304084379,0.11979971241451572
433,0.7555285965935175,0.12112126643937625
434,0.7543187387219531,0.12223632645134838
435,0.7548203961816808,0.12289033198654434
436,0.7540044537683191,0.12343556355784173
437,0.75333026688993,0.12369921356458122
438,0.7538393253468548,0.1238426145886036
439,0.7524431010245959,0.12502493987799987
440,0.752529969467249,0.12525747800394824
441,0.7525355628924396,0.1252437516851133
442,0.7522113138986926,0.12583986815580006
443,0.7519721154331197,0.12644520220761402
444,0.7505700315990502,0.12743858636333072
445,0.7488298303252512,0.12914103212869177
446,0.749368375061783,0.12868959891615855
447,0.7488212625154758,0.12962253367433643
448,0.7505312243648506,0.12817080477246556
449,0.747991941473936,0.13084572797377142
450,0.7482774890201191,0.13034967206523
451,0.7476140799744604,0.13153584667746754
452,0.7457120455109563,0.13316824731131421
453,0.7458959938297672,0.13333629543899142
454,0.7448588033125678,0.13430944785057422
455,0.7435179350624268,0.1359013398154153
456,0.7434842556689077,0.13590913449743702
457,0.7421626557199231,0.1371474662879191
458,0.7415937077637555,0.1380623374763923
459,0.7393982853750241,0.14020473202808476
460,0.739997158760224,0.13956241904668976
461,0.7385708710062191,0.14122920971192618
462,0.7388831448848632,0.1410468849650875
463,0.7384162531595351,0.14172684103719269
464,0.7368660372950812,0.14335085125193225
465,0.7365683718050686,0.14389932039259073
466,0.7354827631313772,0.14499235145486547
467,0.7332403133347019,0.1470664722820167
468,0.7338645710783718,0.14709964692382949
469,0.7331299106023785,0.1473018970718098
470,0.7328227342271181,0.14817956444435898
471,0.73198040913493,0.14912709586324388
472,0.7316289710973558,0.14979990269090457
473,0.7298359087327122,0.15117635094241721
474,0.7296844989912461,0.1518454452210695
475,0.7290329986663278,0.1527248734407961
476,0.7270719309462381,0.1547025931093154
477,0.7259013442453731,0.15596635137338816
478,0.7266745799829046,0.15522442880906723
479,0.7247470376223053,0.1571887361723756
480,0.7238694594708077,0.15816663658860783
481,0.7233898738052331,0.1586776336099403
482,0.7225625347256556,0.1595402770016746
483,0.7210199585251666,0.1613288564623908
484,0.7202463995624605,0.16204768237606984
485,0.7179616695160915,0.16457803275403313
486,0.7182546858809172,0.1643300549017484
487,0.716326308098385,0.16631199556213766
488,0.715533201818422,0.16715424869514892
489,0.7137952218086032,0.16874059885468778
490,0.7119826376483508,0.17048502259267767
491,0.7111911007371718,0.17134953230512912
492,0.7093168798009962,0.17315116985917986
493,0.7080864389779654,0.17451324427130832
494,0.7069109974421691,0.1751958417766726
495,0.7070308191203629,0.1752517568312041
496,0.705081157943987,0.1770520840758782
497,0.7035575860548582,0.17863826892422735
498,0.7022639364085568,0.1799557019751326
499,0.7000838609171178,0.18233920098605888
500,0.6979160030867094,0.1844344801678402
501,0.696728455469793,0.18543255536474096
502,0.6946710003896439,0.18763307988307984
503,0.6929333794359714,0.18908584632803146
504,0.6919658904767255,0.19012582148268156
505,0.6904872454073048,0.1921017449118215
506,0.6885681003379673,0.19377237806027187
507,0.6864907245575949,0.19528988384455703
508,0.6843682515958796,0.19748983141003973
509,0.6820088547490606,0.19979951142162722
510,0.6796659214445491,0.2019240536685537
511,0.6781402290737637,0.20361224824246646
512,0.6765370369896753,0.2053336637018561
513,0.6731075345186003,0.2086985134139006
514,0.670097702920409,0.21158919721667482
515,0.6677497577169462,0.2143072121255376
516,0.6659782541711889,0.2157909494711286
517,0.6648120869334443,0.21733268084424356
518,0.6623602796088512,0.22013227332981883
519,0.6607502788681515,0.2213340743036361
520,0.6591182650601586,0.222650269643521
521,0.6582358708634621,0.22380877612471012
522,0.6544862838683243,0.22742779371337896
523,0.6534101122253548,0.22860649879515108
524,0.6510040727247071,0.2309502197038945
525,0.650061800508819,0.23180450084252152
526,0.6470439040068305,0.2350317328773996
527,0.6464098051149326,0.2355611592469849
528,0.6433594194962993,0.23872454296447654
529,0.6412443122390032,0.2410324782799184
530,0.6387388781173222,0.24370215200621018
531,0.6378825867141164,0.24468644064288553
532,0.6361058074312826,0.24657339012941965
533,0.6370232374183921,0.24580139135795515
534,0.635511504350547,0.2475141331020981
535,0.634539876074812,0.24871390423055947
536,0.631566984462143,0.2517407829581183
537,0.6313711720140327,0.25218500298304714
538,0.6320802568872239,0.25159538225722383
539,0.631029784375825,0.25268570559004233
540,0.6301017553840343,0.2537251891056897
541,0.6292900176279711,0.2548403742338264
542,0.6284154192891237,0.2557747665803546
543,0.6284021760209119,0.2562706617349475
544,0.6282729157884647,0.25673288874507016
545,0.628196603327982,0.2570806500747172
546,0.6285138015865609,0.25688536529532846
547,0.6288591995576159,0.2568562959975714
548,0.6285362550048055,0.2574586588411326
549,0.6285786756654368,0.2576920972320338
550,0.6284402062677106,0.2580260179276226
551,0.6296340519397958,0.25701227612657174
552,0.6307181801040571,0.25625375507312864
553,0.6318125714213139,0.25525238222811397
554,0.6318754650062197,0.2554682933725078
555,0.6333270672678666,0.2542941544032912
556,0.6349414012910211,0.25307834349816094
557,0.6351746752937869,0.2532184347181007
558,0.6358367438117924,0.25290092113176327
559,0.6384606454563562,0.2504255945833355
560,0.6384693047076757,0.2506596933782369
561,0.640352198921696,0.24898040697119478
562,0.6419383727791375,0.24776189921521488
563,0.6423895709396452,0.24770140222530704
564,0.6444351508948438,0.2461400358369159
565,0.6435354698214131,0.24723698685341264
566,0.6452811326179939,0.24586465192956533
567,0.6471691174398961,0.2444223128927726
568,0.6480163993361312,0.2437250107051333
569,0.6486971808938646,0.24358716458182111
570,0.6492335155420459,0.2434953029122785
571,0.6510446461729158,0.24205937969029273
572,0.6537087244799817,0.23982019949209493
573,0.6550094323594158,0.238627203024661
574,0.6576527643551642,0.23671631027632142
575,0.6610437373357341,0.23373889037422046
576,0.6617068839101455,0.2333884183747662
577,0.6630390584683749,0.2322555652041181
578,0.6650285588410587,0.23055514249676762
579,0.6681341596680221,0.2278730579051489
580,0.6687014203931672,0.22777443047480675
581,0.6704767196374914,0.22611501257638325
582,0.6726759694812376,0.22429941450987154
583,0.6755432993767609,0.22167742779238672
584,0.6775201449630353,0.2202200504366254
585,0.6795075971969372,0.21841226876818282
586,0.6801863186150401,0.2181822891512944
587,0.6824862732354378,0.21614799650684138
588,0.6848323643665124,0.21396580925708253
589,0.6856151987442077,0.21377377250667529
590,0.6885998604001833,0.21133730295871397
591,0.6911158887235063,0.20938839723982877
592,0.6942705358067247,0.20653197489327485
593,0.6958964142545694,0.20539601676618752
594,0.6974749083133295,0.20411868538599565
595,0.69861010579976,0.2033547846334331
596,0.6988566687620076,0.20349482151434134
597,0.702003595012096,0.20034514117717162
598,0.7033026181797717,0.19975140462828878
599,0.7050652547104563,0.19812112894500788
600,0.7062009203701199,0.19716934566356575
601,0.70740193912377,0.1964178645389386
602,0.708167115470931,0.19589855509523818
603,0.7101581257116797,0.19410297347877561
604,0.7121355340325447,0.1924217549436128
605,0.7146141863309033,0.1903334400780024
606,0.7149320159662266,0.1902687690344124
607,0.7159334495803416,0.18971931343022266
608,0.7176078937330319,0.18818189949747904
609,0.7185275595035192,0.18771574226152932
610,0.7210071589266219,0.1853229505393476
611,0.7214881802595648,0.18515232650096897
612,0.7222582771020575,0.18436933442220027
613,0.7222294038524344,0.18442772652007772
614,0.722288174520779,0.18460617781444638
615,0.7234180583256526,0.18339256373839474
616,0.7234268485696951,0.1837398228777644
617,0.7243163946989879,0.18295673351404101
618,0.7243942258514773,0.18303186923572975
619,0.724413378541869,0.18306921000284054
620,0.724346091579591,0.18331649046473594
621,0.7250586311505804,0.1826778248310869
622,0.7241081500314701,0.1835300784569997
623,0.7237798965905191,0.18400283511319943
624,0.7236457299807093,0.18444632591868637
625,0.7223228970925986,0.1858924016535145
626,0.7222934000867915,0.18608224775760324
627,0.7204146346187184,0.1877934744339844
628,0.7196993453243152,0.18845784394038037
629,0.7196456601875155,0.18846507294680392
630,0.7188004792280993,0.189641351080654
631,0.7184882500009963,0.18989023903318186
632,0.7173826169240707,0.19079764207644184
633,0.7148886152743753,0.19358219528123452
634,0.7141885384283911,0.19435808390581474
635,0.7129445208463627,0.19566917356675187
636,0.7115797742246319,0.19707238510275066
637,0.7100742985735871,0.19843034001006774
638,0.7093598798086413,0.19906002226112127
639,0.7081928391430166,0.20008926008814304
640,0.7064812501041033,0.20171875419022015
641,0.7044908435880608,0.20381428125014484
642,0.7032351230966819,0.20488084277067334
643,0.7031812029660393,0.20502299099380122
644,0.7006517963360043,0.20748531881116206
645,0.6987227180554938,0.20926713963104138
646,0.6969705858495121,0.2108138177727087
647,0.696522837701951,0.21125524326309908
648,0.6943721592309988,0.2133995838359034
649,0.6918272117850722,0.21584895885667574
650,0.6903998287906983,0.21695004540710694
651,0.6891976324906512,0.21804650135132783
652,0.6862551951884097,0.22100378024111528
653,0.6840599626099134,0.22279088702888492
654,0.6827261843900954,0.2239442376460937
655,0.681758171510003,0.224900171332205
656,0.6795754849061475,0.2271665215570981
657,0.6779509786453686,0.22864961870679512
658,0.6756975872239253,0.23063407091760532
659,0.6732312494179684,0.23299855961626662
660,0.6708439262497962,0.23534381491510273
661,0.6697080769766401,0.23620193659792468
662,0.6671548937254843,0.23859644521243512
663,0.6654747453233179,0.24018563772222523
664,0.6624999488723289,0.24306312834121344
665,0.6614067413689755,0.24369212203481488
666,0.6581615401100439,0.24688197519912802
667,0.6557226117569692,0.2492820757511224
668,0.6543001487371121,0.2506760455657894
669,0.6518137883529791,0.25312019770253436
670,0.6504727614256802,0.2544103095676095
671,0.6474068104892926,0.2572756698731336
672,0.6456695061133498,0.2590660033354419
673,0.6435294652701742,0.26095266481810886
674,0.6419937309718657,0.26233621050268824
675,0.6402745495260795,0.2638899291148352
676,0.6368358922501436,0.2672954282044864
677,0.6356378153557063,0.2683016784931903
678,0.633290363800213,0.27045000090749843
679,0.6318255763536873,0.27186441268548717
680,0.6299311069765778,0.2733368790685339
681,0.6273429946746236,0.27575965516491147
682,0.6259397738123649,0.2770055134601427
683,0.6247811747402587,0.2779373416313245
684,0.6228425368214314,0.27985519941639875
685,0.62074472020954,0.2819254638866431
686,0.6187607027981817,0.28369658935767306
687,0.6170760833816546,0.28522063596266034
688,0.6146974958762073,0.28746287250705793
689,0.6134691828148864,0.28854701762448975
690,0.6121104598301523,0.28978435515672446
691,0.6107300968767131,0.29100750399373043
692,0.6092210745172771,0.29226516193829716
693,0.6072172582497262,0.2943054563358797
694,0.6046732757539246,0.29667685659384485
695,0.6027860578654965,0.2983299614696354
696,0.6022710226222878,0.2987023795047988
697,0.6010988803512443,0.2998369316530253
698,0.5985457781456716,0.3022354471308929
699,0.5974027620966542,0.30334806454838936
700,0.5942879981576653,0.30623263322198563
701,0.594082983714538,0.3064222934155637
702,0.5921787967756027,0.30826307460323576
703,0.5908205336417744,0.30943941841625666
704,0.5895208833050953,0.31050575881972453
705,0.5880925813976374,0.31178090329369457
706,0.5861565773829827,0.31362675239245263
707,0.5837193836911893,0.3160847318664728
708,0.5824980550385768,0.3169980608092785
709,0.5802500113835762,0.3191444151262951
710,0.5778404698304009,0.3215734120618785
711,0.5782004018949289,0.3210830233626173
712,0.5752944576357685,0.32388489667808873
713,0.5733762803142444,0.3255342675000449
714,0.5717056196442339,0.32711888162208613
715,0.5700843197469091,0.32862683117827296
716,0.5678984562160971,0.3305371542136816
717,0.5670613398442359,0.33135521635840925
718,0.5651130341413731,0.3332017185376376
719,0.5636911728593705,0.33451180447597395
720,0.5624658983525276,0.33566395109969904
721,0.5606261906602127,0.3371248054454408
722,0.5594799696740247,0.33823924650535636
723,0.5578821912071409,0.33972018261295106
724,0.5579502304928773,0.33949157418629194
725,0.5558223961613522,0.3413387236362663
726,0.5537132504074158,0.3435342761458472
727,0.5534144861083409,0.3436490036649973
728,0.551596544084379,0.34530029777931415
729,0.5506847563855444,0.34602416458050533
730,0.5498602364818779,0.34669033829553525
731,0.5487822415205091,0.34759945117957997
732,0.5472586742231142,0.3490167980120796
733,0.5459598414164154,0.350169627603148
734,0.5453746335524081,0.3508096407693147
735,0.5448062168508868,0.35124747235515097
736,0.5433462519611223,0.35252835190683807
737,0.5435964131740021,0.35209610557341087
738,0.5419444125494364,0.35361561552929693
739,0.540775224187205,0.35469863537955293
740,0.5399892958860475,0.35538984465863965
741,0.5374190144720671,0.35770951989410793
742,0.5356891757019479,0.3591971399655068
743,0.5346075546416775,0.3600450303982648
744,0.5332661011970289,0.36124507687942176
745,0.5320093321760828,0.36236620938794545
746,0.5311419846537502,0.36327751503882477
747,0.5308624518849864,0.36337404114116656
748,0.5285487429847737,0.3655876485196388
749,0.5273776106001928,0.3666478878455096
750,0.5260534102305199,0.3677322058381417
751,0.5249040263424478,0.3687104998651447
752,0.5234215014262569,0.37002284482483283
753,0.5226790695905064,0.3705796610986267
754,0.521451408191786,0.3717009116810169
755,0.5203890235184568,0.37260033800119585
756,0.5185749447631884,0.3743198716080502
757,0.5172102610465503,0.37564511197185996
758,0.5159193678866695,0.37702423440309024
759,0.5147008552923918,0.37815038117480493
760,0.5140852807946381,0.37866148725846155
761,0.5124383931802583,0.3802265215110244
762,0.511166576605863,0.38142095657216496
763,0.5099177238432471,0.38254437420503623
764,0.5082665210150596,0.38406088342021616
765,0.5077877397187234,0.3842955555081662
766,0.5073414108033584,0.3845618474331214
767,0.5061884136919252,0.3855230304664918
768,0.5054337756948029,0.3860873946736735
769,0.5053759169228165,0.3858915084999165
770,0.5046402407824429,0.38642355466845957
771,0.5033965988506964,0.38752312635894903
772,0.5026837179787077,0.3882246630646806
773,0.5017490569697843,0.3890215348495029
774,0.5000287148997431,0.3907824607755187
775,0.49956639958892657,0.3910202402653511
776,0.49841700748320633,0.3919494260513469
777,0.4978362188971518,0.39237179005514106
778,0.49649435251789675,0.39358095234810353
779,0.495318838948566,0.39470496628937934
780,0.4938435511936672,0.3959970341537087
781,0.49294936793469063,0.3967549356752016
782,0.49150712064574886,0.3981610031935343
783,0.491595140856418,0.3977788265790968
784,0.4903817979535896,0.3989177485471155
785,0.4888226921886778,0.4002798667461131
786,0.48779984415028554,0.40108360554197964
787,0.48663346359747583,0.40217787013602235
788,0.486162460102734,0.40260610671627156
789,0.48500253154414236,0.40348087930887344
790,0.48347794685382334,0.4049173950452276
791,0.482664680903124,0.40564245627587575
792,0.48193104305886303,0.4062513034881514
793,0.4814880755290067,0.4063972253782501
794,0.48077406611611306,0.4069971597318681
795,0.4793203302680473,0.4082379125252532
796,0.4782000381014415,0.4092404785480507
797,0.476587722715166,0.4107681340240378
798,0.47630798820551057,0.41085128098776963
799,0.475571769986963,0.41133300437355846
